customer_id,full_name,email,signup_date,region,source_channel
1a025053,Allison Hill,donaldgarcia@example.net,2025-01-13,Scotland,Referral
59b04af6,Javier Johnson,jesseguzman@example.net,2022-12-16,Yorkshire and the Humber,Website
ab5dd109,Kimberly Robinson,lisa02@example.net,2023-08-18,West Midlands,Website
1aa39e7e,Daniel Gallagher,daviscolin@example.com,2024-03-04,London,Website
ee5eedb2,Monica Herrera,smiller@example.net,2024-03-20,East Midlands,Website
a89f271c,Laura Bush,stanleykendra@example.org,2024-12-04,East Midlands,Referral
1deec8b7,Jamie Chavez,francisco53@example.net,2023-03-01,North West,Estate Agent
b4dba713,Maria Lynch,amandasanchez@example.com,2023-07-02,Yorkshire and the Humber,Referral
52d5ef25,Margaret Hawkins DDS,perezantonio@example.com,2023-07-26,West Midlands,Estate Agent
89f43cab,Thomas Bradley,jason76@example.net,2023-09-27,Yorkshire and the Humber,Website
2df96b74,David Hoffman,julie69@example.com,2023-06-13,London,Website
5c8d00bd,Brenda Snyder PhD,hernandezernest@example.net,2023-08-18,North West,Referral
99cff24f,James Ferrell,tasha01@example.net,2025-01-05,East Midlands,Referral
56d02b1b,Patricia Peterson,ryan70@example.net,2024-12-27,London,Estate Agent
d218f968,Jonathan White,harrellkenneth@example.net,2023-11-19,East Midlands,Website
d4a66f10,James Martin,georgetracy@example.org,2025-02-23,Yorkshire and the Humber,Referral
97de557f,Sandra Parker,allenashley@example.org,2022-08-14,West Midlands,Estate Agent
21e3a55b,Mr. Philip Cannon,donnaarroyo@example.org,2023-02-27,South West,Website
67676134,Jenny Lewis,jenniferross@example.net,2024-04-23,London,Referral
7d9d3495,Joseph Martinez,calebsmith@example.net,2023-01-19,South West,Website
804fd3fb,Benjamin Welch,carlosjohnson@example.com,2022-07-29,London,Estate Agent
6e85b69c,Michael Lewis,jenniferkhan@example.net,2023-10-12,London,Referral
95ae56c0,Rhonda Lee,hopkinsmichael@example.com,2023-10-06,South East,Website
7f99f898,Megan Joyce,brownjessica@example.org,2023-02-09,South West,Estate Agent
0d5e8a13,Jerry Henderson,steven17@example.net,2022-08-28,Scotland,Website
249cae99,Kimberly Smith,housemelinda@example.org,2023-08-01,East Midlands,Referral
ecf9c17c,Dr. Steven Martin,gallowayjoseph@example.com,2023-03-21,North West,Referral
53d77e81,Monica Logan,smoore@example.org,2025-04-07,North West,Website
53345b6e,Kimberly Adkins,williamsthomas@example.net,2022-11-01,East Midlands,Referral
ff2c4f0e,Angela Lopez,leonardjoe@example.org,2025-03-09,West Midlands,Referral
8cb3d25e,Lauren Williams,barnesbrandy@example.net,2023-04-24,Yorkshire and the Humber,Referral
2c238371,Michael Edwards,randy47@example.com,2025-02-23,South West,Estate Agent
717b0aab,Alexandra Howell,jonesjason@example.com,2022-10-05,Scotland,Website
9b41c50a,Benjamin Sanchez,eric84@example.net,2025-04-24,North West,Estate Agent
503d90fe,Kendra Contreras,sarah12@example.com,2022-09-16,London,Referral
31a1db64,Juan Nelson,jenniferharris@example.net,2024-12-01,East Midlands,Estate Agent
abadaf1a,Danielle Odonnell,davisrodney@example.com,2022-06-30,South West,Website
085de22f,Carlos Whitney,joycearnold@example.com,2024-01-17,East Midlands,Estate Agent
18852fe7,Tony Vazquez,amydavenport@example.net,2024-01-08,West Midlands,Referral
ea4b2d1f,Andrew Diaz,nolanjason@example.org,2024-05-12,Yorkshire and the Humber,Estate Agent
81037006,Justin Baxter,sarayoung@example.org,2025-04-15,West Midlands,Referral
eb550733,Sierra Johnson,kimberly63@example.com,2022-11-03,North West,Referral
5fcc8e20,Janet Williams,dwalker@example.com,2023-04-12,East Midlands,Estate Agent
e5d32d67,Crystal Johnson,raymondramirez@example.org,2025-04-05,East Midlands,Estate Agent
59cb1439,Martin Ross,sheila14@example.org,2024-02-07,West Midlands,Website
2489acf7,Mrs. Linda Reed,samuel81@example.com,2025-01-21,London,Referral
9627899c,Andrew Graham,michaeljones@example.net,2025-02-14,South West,Website
a390bdcd,Mary Martinez,william65@example.com,2024-06-14,East Midlands,Estate Agent
96269847,Cheryl Ortega,lbyrd@example.net,2024-01-26,London,Website
646bcf82,Roy Torres,russellcarpenter@example.net,2023-04-30,London,Website
63dddbc0,Michael Dixon,donnacampbell@example.net,2024-04-05,London,Referral
128890e9,Robert Potter,jeffrey32@example.org,2022-07-02,Yorkshire and the Humber,Website
7f3f3377,Miss Patricia Gibson,jennifercruz@example.com,2023-02-04,Scotland,Referral
93e5caff,Abigail Potter,osbornejeffery@example.net,2023-12-01,Yorkshire and the Humber,Referral
f7ddec80,David Charles,danderson@example.net,2023-12-15,South West,Referral
6d64586e,Emily Fischer,usalazar@example.net,2023-08-23,London,Website
a1823cce,Jill Moore,wcole@example.org,2024-11-17,Scotland,Estate Agent
c34a33b0,Richard Washington,joshuajones@example.com,2023-01-24,London,Estate Agent
84b1eac4,Steven Miller,jessebenson@example.net,2023-01-02,South East,Website
b5be2e14,Gary Owens,clarkrobert@example.net,2025-03-13,South West,Referral
a5792d93,Spencer Johnston,wsmith@example.com,2024-08-15,East Midlands,Website
339e0969,Tiffany Barnes,tracynelson@example.com,2022-06-13,Yorkshire and the Humber,Referral
db8cdcbf,Michael Powell,marycalhoun@example.net,2023-12-18,East Midlands,Estate Agent
b0123a2d,Leslie Alvarado,dayderek@example.com,2022-11-27,Yorkshire and the Humber,Referral
199bd8c8,Garrett Gibson,kathleen64@example.com,2023-02-13,South East,Website
6996787a,Alec Ryan,jeffrey10@example.org,2025-03-17,East Midlands,Referral
8cc53340,Alex Hernandez,thomaswilson@example.org,2023-10-04,West Midlands,Referral
11c69a6b,Jacob Obrien,stricklandfrank@example.com,2022-09-08,South East,Website
1764c2c1,Eric Byrd,tsanders@example.org,2022-08-04,London,Referral
2a65fbc9,Lori Garcia,melissa91@example.net,2024-09-15,London,Referral
39ebb870,Jeffrey Wood,alexander67@example.org,2023-08-30,Scotland,Referral
66e775e2,Steven Stevens,ryangross@example.net,2023-03-04,West Midlands,Estate Agent
f071d511,Kimberly Webb,lpetersen@example.com,2023-04-30,South East,Referral
d4569b16,Timothy Ramirez,dsanchez@example.net,2024-03-11,Scotland,Website
31c7c009,Allen Rosales,tonykelly@example.com,2023-05-20,West Midlands,Website
cc08d593,Meredith Hill,blackjames@example.org,2024-07-09,London,Estate Agent
54eb715e,Peter Vaughn DDS,bwest@example.org,2023-03-31,South West,Referral
9e350ab3,David Beck,thomas85@example.com,2025-05-08,London,Website
3690a698,Heather Chavez,john13@example.com,2022-09-20,East Midlands,Website
11ff1b78,Pamela Lopez,joannahill@example.net,2025-04-16,Yorkshire and the Humber,Estate Agent
69173682,Diane Garcia,kennethward@example.com,2022-05-28,West Midlands,Website
5b3665ec,Denise Mccann,heidi27@example.org,2024-12-23,South East,Referral
a032aafd,Julie Alexander,tammyking@example.com,2022-09-14,Scotland,Estate Agent
215268cb,John Ray,hernandezlisa@example.com,2022-08-14,London,Referral
ac6cd23d,Justin Butler,kimberlyjames@example.com,2023-04-03,West Midlands,Referral
bb43a0ba,Jessica Carroll,lynchjody@example.org,2024-03-27,Yorkshire and the Humber,Website
b8b63a54,Brad Allen,moorericky@example.net,2024-02-22,East Midlands,Website
094e78e8,David Mann,ojones@example.com,2024-09-21,South West,Referral
37144ce0,Mary Peck,owilson@example.net,2022-10-23,London,Referral
baeeafa2,Charles Brown,brooke94@example.com,2022-09-26,Yorkshire and the Humber,Referral
682d4f55,Melissa Bender,mkim@example.org,2025-01-10,London,Estate Agent
854a8a94,Lindsey Johnson,suzannehuff@example.net,2024-02-14,North West,Estate Agent
2935d96c,Phillip Underwood,hinesgregory@example.net,2024-04-25,South West,Estate Agent
0fcb1f91,Catherine Richards,ecosta@example.com,2023-08-03,North West,Referral
566babd5,Brian Martin,ssteele@example.net,2025-03-12,South West,Referral
fdb73f07,Krista Gibson,johnny16@example.net,2024-11-01,East Midlands,Estate Agent
5c18f566,Sean Murray,lopezmichael@example.com,2024-03-27,London,Website
1008bd21,Christina Dunn,samuel71@example.org,2025-04-12,London,Referral
2d8887bf,Cynthia Moore,tranchristopher@example.org,2023-09-30,East Midlands,Website
1edf8182,Ronnie Jimenez,william46@example.com,2025-04-20,South East,Website
59b32604,Juan Reyes,michellehill@example.com,2023-05-20,West Midlands,Estate Agent
0aa12bec,Debra Smith,mary97@example.org,2023-09-13,Scotland,Estate Agent
1ba2237a,Mr. Phillip Bennett,molly39@example.com,2023-01-23,East Midlands,Estate Agent
b827bd5d,Amanda Garner,qhughes@example.net,2025-04-20,North West,Referral
d163998d,Andrew Shaw MD,sawyerscott@example.net,2025-02-02,London,Estate Agent
7739322d,Charles Pitts,charlesharrington@example.com,2023-05-18,South West,Estate Agent
f234cd6c,Marie Christian,ofinley@example.net,2025-01-08,South West,Referral
46bdb905,Joshua Williamson II,wendy16@example.org,2024-08-22,East Midlands,Website
15210a21,Ashlee Jackson,rebecca05@example.org,2023-03-30,Yorkshire and the Humber,Referral
bff4f553,Charles Schmidt,georgemiller@example.com,2024-03-21,London,Referral
4e332ba8,Thomas Thomas,dlittle@example.com,2024-05-12,South East,Estate Agent
3b13ef10,Julie Roberts,charleslandry@example.net,2023-04-05,North West,Website
498d1714,Melissa Bryant,james67@example.org,2023-01-27,London,Referral
f6df3e54,Laura Haney,andrew64@example.org,2024-01-22,Scotland,Website
29d3daca,Natasha Williams,swall@example.org,2024-03-07,Scotland,Website
d9007f82,Mark Oliver,courtneyberger@example.net,2022-06-25,East Midlands,Referral
f92618a6,Amanda Diaz,christopherphillips@example.net,2023-08-10,Yorkshire and the Humber,Website
5d7507e8,Richard Walter,alyssa42@example.com,2025-02-06,East Midlands,Estate Agent
b04dc7cc,Tracy Phillips,linda71@example.org,2024-08-15,West Midlands,Estate Agent
0e73d63d,Michael Craig,zcoffey@example.net,2023-06-17,West Midlands,Referral
8b6ab0a9,Alexis Herrera,vrichardson@example.net,2023-02-24,South East,Referral
42aad00a,Mark Watson,thomasharvey@example.net,2023-05-07,Scotland,Estate Agent
476a1ff1,Maria Reid,tblankenship@example.net,2023-08-03,West Midlands,Estate Agent
1d0bfda1,Tracy Torres,pwilson@example.net,2022-10-08,West Midlands,Referral
26bf9b7c,Michael Paul,umatthews@example.org,2025-01-06,North West,Referral
6acd282c,Sandra Gilbert,antonio53@example.com,2023-09-11,South West,Estate Agent
c7275fcf,Jack Pollard,amy50@example.com,2023-03-11,London,Website
